game_id,player_a,player_b,first_mover,result,num_moves,avg_move_time_a,avg_move_time_b,error
game_03986,gemini_t7,opus47_t1,gemini_t7,player_b_win,28,1.180,2.196,
game_03987,opus47_t1,gemini_t7,opus47_t1,player_a_win,35,2.158,1.131,
game_03988,opus47_t1,gemini_t7,opus47_t1,player_a_win,35,2.175,1.131,
game_03989,gemini_t7,opus47_t2,gemini_t7,draw,42,1.135,1.416,
game_03990,gemini_t7,opus47_t2,gemini_t7,draw,42,1.140,1.411,
game_03991,opus47_t2,gemini_t7,opus47_t2,player_a_win,31,1.433,1.155,
game_03992,opus47_t2,gemini_t7,opus47_t2,player_a_win,31,1.440,1.155,
game_03993,gemini_t7,opus47_t3,gemini_t7,draw,42,1.126,1.493,
game_03994,gemini_t7,opus47_t3,gemini_t7,draw,42,1.140,1.483,
game_03995,opus47_t3,gemini_t7,opus47_t3,player_a_win,27,1.559,1.202,
game_03996,opus47_t3,gemini_t7,opus47_t3,player_a_win,27,1.552,1.210,
game_03997,gemini_t7,opus47_t4,gemini_t7,player_b_win,32,1.177,1.102,
game_03998,gemini_t7,opus47_t4,gemini_t7,player_b_win,32,1.183,1.114,
game_03999,opus47_t4,gemini_t7,opus47_t4,player_a_win,31,1.096,1.209,
game_04000,opus47_t4,gemini_t7,opus47_t4,player_a_win,31,1.108,1.195,
game_04001,gemini_t7,opus47_t5,gemini_t7,player_b_win,36,1.157,1.819,
game_04002,gemini_t7,opus47_t5,gemini_t7,player_b_win,36,1.163,1.808,
game_04003,opus47_t5,gemini_t7,opus47_t5,player_a_win,31,1.702,1.162,
game_04004,opus47_t5,gemini_t7,opus47_t5,player_a_win,31,1.721,1.168,
game_04005,gemini_t7,opus47_t6,gemini_t7,player_b_win,20,1.242,2.123,
game_04006,gemini_t7,opus47_t6,gemini_t7,player_b_win,20,1.242,2.123,
game_04007,opus47_t6,gemini_t7,opus47_t6,player_a_win,39,2.068,1.133,
game_04008,opus47_t6,gemini_t7,opus47_t6,player_a_win,39,2.078,1.128,
game_04009,gemini_t7,opus47_t7,gemini_t7,player_b_win,34,1.143,2.303,
